"id","region","state","locality","site_name","latitude","longitude","protection","popularity","length_sca","n_marinas_","size","marina_id","ocean_acce","land_acces","accessibil","geometry"
80,"Northwest Mexico","BAJA_CALIFORNIA SUR","COMONDU","BOCA_ANIMAS",25.68643122,-112.0975781,"Into MPA","1","2.227221152","0.172413793","0","114","2.399634945","1.875","4.499315521",c(-112.0975781, 25.68643122)
81,"Mexican Pacific","GUERRERO","ACAPULCO","BOCA_CHICA",16.828118,-99.907935,"Not protected","1","3.271344087","0.344827586","3","26","3.616171673","9.375","33.90160944",c(-99.907935, 16.828118)
82,"Northwest Mexico","BAJA_CALIFORNIA SUR","LA_PAZ","BOCA_PALMERITO",23.49845337,-110.3101469,"Not protected","1","2.286667796","0.172413793","0","116","2.459081589","5","12.29540795",c(-110.3101469, 23.49845337)
83,"Northwest Mexico","BAJA_CALIFORNIA SUR","COMONDU","BOCA_SAN_ANDRES",25.74562169,-112.1028178,"Not protected","1","2.625447494","0.172413793","0","114","2.797861287","1.875","5.245989913",c(-112.1028178, 25.74562169)
84,"Northwest Mexico","BAJA_CALIFORNIA SUR","COMONDU","BOCA_SAN_GREGORIO",26.0563439,-112.2807008,"Not protected","NA","NA","NA","NA","NA","NA","NA","NA",c(-112.2807008, 26.0563439)
85,"Northwest Mexico","BAJA_CALIFORNIA SUR","COMONDU","BOCA_SANTO_DOMINGO",25.49526904,-112.0984746,"Into MPA","1","1.714469985","0","1","115","1.714469985","3.75","6.429262444",c(-112.0984746, 25.49526904)
86,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","BOCANA",29.97686251,-115.8198736,"Not protected","1","1.790492409","0","2","96","1.790492409","0","0",c(-115.8198736, 29.97686251)
87,"Gulf of Mexico","VERACRUZ","VERACRUZ","BORRE",19.06007004,-95.92202259,"Into MPA","1","2.689709387","1.724137931","0","302","4.413847318","7.5","33.10385489",c(-95.92202259, 19.06007004)
88,"Northwest Mexico","BAJA_CALIFORNIA","BAHIA DE LOS ANGELES","BORREGO",29.01300826,-113.5258362,"Into MPA","1","2.498653371","0.172413793","2","140","2.671067164","5","13.35533582",c(-113.5258362, 29.01300826)
89,"Northwest Mexico","SONORA","GUAYMAS","BOULDERS",27.976535,-111.379436,"Not protected","8","1.895019072","0","1","147","1.895019072","5.625","10.65948228",c(-111.379436, 27.976535)
90,"Yucatan Peninsula","QUINTANA_ROO","CANCUN","BOYA_DE_LOS_LOCOS",21.036089,-86.769924,"Into MPA","11","3.492168457","4.827586207","1","380","8.319754664","8.75","72.79785331",c(-86.769924, 21.036089)
91,"Yucatan Peninsula","QUINTANA_ROO","CANCUN","BOYA_DEL_PUENTE",21.039205,-86.763381,"Into MPA","8","3.153661309","4.827586207","1","380","7.981247516","8.75","69.83591577",c(-86.763381, 21.039205)
92,"Mexican Pacific","COLIMA","REVILLAGIGEDO","BOYLER",19.329291,-110.816566,"Not take zone","15","0.286851101","0","3","17","0.286851101","9.375","2.689229073",c(-110.816566, 19.329291)
93,"Mexican Pacific","COLIMA","MANZANILLO","BRISAS_JETTY",19.06349072,-104.2963503,"Not protected","NA","NA","NA","NA","NA","NA","NA","NA",c(-104.2963503, 19.06349072)
